State,expanded,date_adopted
Alabama,FALSE,NA
Alaska,TRUE,2015-09-01
Arizona,TRUE,2014-01-01
Arkansas,TRUE,2014-01-01
California,TRUE,2014-01-01
Colorado,TRUE,2014-01-01
Connecticut,TRUE,2014-01-01
Delaware,TRUE,2014-01-01
District of Columbia,TRUE,2014-01-01
Florida,FALSE,NA
Georgia,FALSE,NA
Hawaii,TRUE,2014-01-01
Idaho,TRUE,2020-01-01
Illinois,TRUE,2014-01-01
Indiana,TRUE,2015-02-01
Iowa,TRUE,2014-01-01
Kansas,FALSE,NA
Kentucky,TRUE,2014-01-01
Louisiana,TRUE,2016-07-01
Maine,TRUE,2019-01-10
Maryland,TRUE,2014-01-01
Massachusetts,TRUE,2014-01-01
Michigan,TRUE,2014-04-01
Minnesota,TRUE,2014-01-01
Mississippi,FALSE,NA
Missouri,TRUE,2021-10-01
Montana,TRUE,2016-01-01
Nebraska,TRUE,2020-10-01
Nevada,TRUE,2014-01-01
New Hampshire,TRUE,2014-08-15
New Jersey,TRUE,2014-01-01
New Mexico,TRUE,2014-01-01
New York,TRUE,2014-01-01
North Carolina,TRUE,2023-12-01
North Dakota,TRUE,2014-01-01
Ohio,TRUE,2014-01-01
Oklahoma,TRUE,2021-07-01
Oregon,TRUE,2014-01-01
Pennsylvania,TRUE,2015-01-01
Rhode Island,TRUE,2014-01-01
South Carolina,FALSE,NA
South Dakota,TRUE,2023-07-01
Tennessee,FALSE,NA
Texas,FALSE,NA
Utah,TRUE,2020-01-01
Vermont,TRUE,2014-01-01
Virginia,TRUE,2019-01-01
Washington,TRUE,2014-01-01
West Virginia,TRUE,2014-01-01
Wisconsin,FALSE,NA
Wyoming,FALSE,NA
NA,NA,NA
Notes,NA,NA
States' decisions about adopting the Medicaid expansion are as of September 2025.,NA,NA
NA,NA,NA
"A central goal of the Affordable Care Act (ACA) is to significantly reduce the number of uninsured by providing a continuum of affordable coverage options through Medicaid and the Health Insurance Marketplaces. The ACA expands Medicaid coverage for most low-income adults to 138% of the federal poverty level (FPL); see this [table](https://www.kff.org/health-reform/state-indicator/medicaid-income-eligibility-limits-for-adults-as-a-percent-of-the-federal-poverty-level/) for state by state Medicaid income eligibility levels for adults. Following the June 2012 Supreme Court decision, states face a decision about whether to adopt the Medicaid expansion. It is important to note that per CMS guidance, there is no deadline for states to implement the Medicaid expansion.",NA,NA
NA,NA,NA
"For additional information, including a downloadable map and detailed table of state actions toward adopting Medicaid expansion, please click [here](https://www.kff.org/medicaid/issue-brief/status-of-state-medicaid-expansion-decisions-interactive-map/).",NA,NA
NA,NA,NA
Sources,NA,NA
Current status for each state is based on KFF tracking and analysis of state executive activity.,NA,NA
NA,NA,NA
NA,NA,NA
Footnotes,NA,NA
"1. Ten states (Arizona, Arkansas, Illinois, Indiana, Montana, New Hampshire, North Carolina, Ohio, Utah, and Virginia) have trigger laws that require termination of the expansion if the share of federal funding drops.",NA,NA
"2. Idaho voted to adopt Medicaid expansion in November 2018; however in 2019 Governor Brad Little signed a bill passed by the legislature that directed the Idaho Department of Health and Welfare to seek waivers for multiple changes to the expansion program, including to add a work requirement as a condition of eligibility for coverage (which was never approved) and allow individuals between 100-138% FPL to receive advanced premium tax credits to enroll in a QHP (which was rejected).",NA,NA
"3. Three states (Idaho, Iowa, and New Mexico) have trigger laws that require the states to take some action mitigating fiscal impact if the share of federal funding drops.",NA,NA
"4. Maine voted to adopt Medicaid expansion through a ballot initiative in November 2017; however, former Governor Paul LePage delayed implementation for months. On January 10, 2019, under a new Governor, the state began implementing the expansion with coverage retroactive to July 2018.",NA,NA
"5. Medicaid coverage under expansion began in Missouri when the state started accepting applications in August 2021 and began processing applications in October 2021, with coverage retroactive to July 1, 2021 consistent with a state supreme court order. In May 2021, individuals who would be eligible for expansion coverage filed a lawsuit against the state after Governor Mike Parson announced that the state would not implement expansion because the ballot measure did not include a revenue source. However, in July 2021, the Missouri Supreme Court ruled that the initiated amendment is valid under the state constitution and that the legislature’s budget appropriation authorizes the state to fund expansion coverage.",NA,NA
"6. After Nebraska voters approved of the ballot measure in November 2018, the state delayed implementation of the expansion while it sought approval for an 1115 waiver. In October 2020, CMS approved Nebraska's request for a Section 1115 waiver to implement expansion with work and healthy behavior requirements. On August 17, 2021, Nebraska terminated the waiver after being notified that the Biden administration was moving to withdraw work requirements. The state began offering all expansion adults full benefits starting October 1, 2021.",NA,NA
"7. North Carolina's legislation to expand Medicaid also included trigger provisions to discontinue the expansion if the enhanced federal matching rate (FMAP) drops below 90% or if the state’s financing mechanisms become insufficient as well as provisions to increase hospital assessments to fund the state share of expansion, increase hospital reimbursement rates, implement a comprehensive workforce development and referral program, and seek federal approval to condition Medicaid eligibility on compliance with work requirements if there is any indication that work requirements as a condition of participation in Medicaid may be authorized by CMS.",NA,NA
"8. Oklahoma voters approved a ballot measure on June 30, 2020 that added Medicaid expansion to the state’s constitution and prohibited any additional burdens or restrictions on eligibility for the expansion population.",NA,NA
"9. Voters in South Dakota approved a ballot measure on November 8, 2022, which added Medicaid expansion to the state constitution. Language in the approved measure prohibits the imposition of any additional burdens or restrictions on eligibility or enrollment for the expansion population.",NA,NA
"10. After Utah voters approved the Medicaid expansion ballot measure in November 2018, the state legislature took steps to roll back the full expansion by directing the state to submit a series of Section 1115 Waivers. On December 23, 2019, CMS approved certain provisions in the state’s ""Fallback Plan"" waiver request, effective January 1, 2020; the approval also included work requirements for the newly expanded adult Medicaid population. In August 2021, the Biden administration withdrew approval of the work requirement.",NA,NA
